drop_zone,vendor_id,tips
143,HV0003,0.5327956777433623
119,HV0003,0.13942146898624982
107,HV0003,0.48526205649938337
68,HV0003,0.6023632886627313
111,HV0003,0.5866555042744495
149,HV0003,0.29078205589394907
115,HV0003,0.40833531139137264
120,HV0003,0.2331142237476477
253,HV0003,0.47739277300261623
138,HV0003,1.6643029599902475
164,HV0003,0.6910095950266012
25,HV0003,0.5549772413210841
165,HV0003,0.2782438448040188
13,HV0003,0.715498380182236
173,HV0003,0.19156274646524907
239,HV0003,0.6681178363689474
98,HV0003,0.3375803398795956
88,HV0003,0.7651107381218768
22,HV0003,0.2898328224536157
71,HV0003,0.15396682529037267
141,HV0003,0.519914159448045
188,HV0003,0.24990313927488614
225,HV0003,0.2671870998575347
185,HV0003,0.21978807055240326
197,HV0003,0.21085831430527438
44,HV0003,0.8527311807507513
256,HV0003,0.3518007259397268
118,HV0003,0.5085632089933766
26,HV0003,0.2014496767460318
135,HV0003,0.3258958322766801
182,HV0003,0.18469473211796156
245,HV0003,0.573759955818169
187,HV0003,0.39353007078231333
108,HV0003,0.2749987839228267
126,HV0003,0.11832101769923395
73,HV0003,0.27388915576474643
114,HV0003,0.4562506019732851
183,HV0003,0.28026918111370297
190,HV0003,0.5572742408153811
178,HV0003,0.22486617993621796
128,HV0003,0.4172678502412112
242,HV0003,0.20613249067530398
206,HV0003,0.4213948667175689
56,HV0003,0.20967896267586855
258,HV0003,0.22340541931856775
224,HV0003,0.42638022807868114
265,HV0003,2.6230762205579077
251,HV0003,0.6497631212827152
191,HV0003,0.23570960410472577
24,HV0003,0.44634380124687567
152,HV0003,0.28472445447009687
86,HV0003,0.28722097416928205
210,HV0003,0.27518347698022516
146,HV0003,0.49744235292662936
9,HV0003,0.43831806148871616
240,HV0003,0.20842715372343662
34,HV0003,0.4694845072180591
5,HV0003,0.7373032453602599
27,HV0003,1.3060834083129298
18,HV0003,0.1147352087293868
21,HV0003,0.290727967336133
199,HV0003,1.534
90,HV0003,0.5011432152980483
204,HV0003,0.8275897363760357
80,HV0003,0.3648121620508163
19,HV0003,0.42179068999544134
263,HV0003,0.5007932265987197
145,HV0003,0.4472131384608674
133,HV0003,0.35960875634451367
32,HV0003,0.14719323128259001
83,HV0003,0.25347189332615655
69,HV0003,0.11937332326839692
50,HV0003,0.5382649854536078
65,HV0003,0.5701549562843838
184,HV0003,0.26611871950676624
109,HV0003,0.8086208590492282
7,HV0003,0.38986924873533885
219,HV0003,0.2294909508532293
37,HV0003,0.30490511003201426
102,HV0003,0.31114295778513673
244,HV0003,0.31662478140832523
93,HV0003,0.6354205745299302
59,HV0003,0.13533949641844606
148,HV0003,0.44258298661115236
55,HV0003,0.33129473389980496
260,HV0003,0.3310968670835498
200,HV0003,0.6030138972612216
57,HV0003,0.34982977002925636
42,HV0003,0.24851265873838121
2,HV0003,0.4942867867867867
62,HV0003,0.22929463460735805
131,HV0003,0.2742206808242172
74,HV0003,0.2703913362676992
10,HV0003,0.2688651418700583
192,HV0003,0.29877886138263704
181,HV0003,0.5772217525775737
193,HV0003,0.318687169056741
63,HV0003,0.14779998475257336
137,HV0003,0.3966748999746193
201,HV0003,0.7871777152357496
43,HV0003,0.9057214435834502
91,HV0003,0.18096901640215193
106,HV0003,0.5613392570431296
